PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40622918,Assessing COVID-19 seroprevalence and vaccine uptake among women of reproductive-age in Zanzibar's archipelago.,2025,Ame Masemo Ame,"Zanzibar Health Research Institute, Binguni, Zanzibar, Tanzania.",N/A
40622507,"Association between Guillain-Barré syndrome and SARS-CoV-2 virus infection, including the impact of COVID-19 vaccination in the context of the development and general clinical characteristics of the disease.",2025 Jul 07,"Jakub Sadowski, Joanna Huk, Sylwia Otulak, Jesica Zawiło, Tomasz Klaudel, Mateusz Roszak, Dominik Tenczyński, Rafał Jakub Bułdak","Student Scientific Society of Clinical Biochemistry and Regenerative Medicine, Department of Clinical Biochemistry and Laboratory Diagnostics, Institute of Medical Sciences, University of Opole, Oleska 48, 45‑052, Opole, Poland.; Department of Clinical Biochemistry and Laboratory Diagnostics, Institute of Medical Sciences, University of Opole, Oleska 48, Opole, 45-052, Poland. rafal.buldak@uni.opole.pl.; Student Scientific Society of Clinical Biochemistry and Regenerative Medicine, Department of Clinical Biochemistry and Laboratory Diagnostics, Institute of Medical Sciences, University of Opole, Oleska 48, 45‑052, Opole, Poland. jakubsa77@gmail.com.",jakubsa77@gmail.com.
40622481,Intelligent Batch Epitope Identification and Partitioning: an intelligent tool for the identification of B cell dominant epitopes.,2025 Jul 02,"Yun-Fei Ma, Ye Liu","Institute of Medical Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, No. 935, Jiaoling Road, Kunming, 650118, People's Republic of China.",N/A
40621640,Fear of the Unknown: Pandemic Concerns Among Non-hospitalized COVID-19 Infected or Quarantined Norwegian Adults.,2025 Jul 07,"Anja Maria Brænd, Jørund Straand, Guro Haugen Fossum","General Practice Research Unit (AFE), Department of General Practice, Institute of Health and Society, University of Oslo, Oslo, Norway.",N/A
40621638,Reinfection Incidences in Health Care Workers and Non-Health Care Workers: A Single-Center Study in a Turkish SARS-CoV-2 Patient Cohort.,2025 Jul 07,"Ruchan Sertoz, Su Ozgur, Ozlem Goksel","https://ror.org/05xv0p989Ege University Faculty of Medicine, Department of Medical Microbiology, Izmir, Türkiye.; https://ror.org/02eaafc18Ege University Institute of Health Sciences, Translational Pulmonary Research Center (EgeSAM), Izmir, Türkiye.; https://ror.org/02eaafc18Ege University Faculty of Medicine, Department of Pulmonary Medicine, Division of Immunology and Allergy, Laboratory of Occupational/Environmental Respiratory Diseases and Asthma, Ege University Institute of Health Sciences, Translational Pulmonary Research Center (EgeSAM), Izmir, Türkiye.",N/A
40620653,Incomplete systemic capillary leak syndrome after COVID-19 vaccination: a case-based review.,2025,"Jaroslaw Nowakowski, Brygida Marczyk, Joanna Przeniosło, Zuzanna Sawiec, Kinga Żmuda, Mariusz Korkosz","Department of Rheumatology and Immunology, Jagiellonian University Medical College, Krakow, Poland.; Students' Scientific Group of Rheumatology and Immunology, Jagiellonian University Medical College, Krakow, Poland.; Jagiellonian Centre for Experimental Therapeutics (JCET), Jagiellonian University, Krakow, Poland.",N/A
40620571,Antispike IgG antibody decay after immunisation with fractional versus full booster doses of COVID-19 vaccines: a 6-month longitudinal analysis of the FRACT-COV trial in Brazil.,2025,"Vivek Charu, Haley Hedlin, Di Lu, Amy Zhang, Victor Ritter, Blake Shaw","Quantitative Sciences Unit, Biomedical Informatics Research Division, Stanford University School of Medicine, Stanford, California, USA.",N/A
40620556,"Global burden of diphtheria, 1990-2021: a 204-country analysis of socioeconomic inequality based on SDI and DTP3 vaccination differences before and after the COVID-19 pandemic (GBD 2021).",2025,"Zilun Wu, Liyu Lin, Jinbu Zhang, Jirui Zhong, Donglan Lai","The First Clinical Medical College, Guangzhou University of Chinese Medicine, Guangzhou, China.",N/A
40620492,Forecasting framework for dominant SARS-CoV-2 strains before clade replacement using phylogeny-informed genetic distances.,2025,"Junhyung Cho, Jeong-Sun Yang, Kyung-Chang Kim, Joo-Yeon Lee","Center for Infectious Diseases Research, National Institute of Infectious Diseases, Korea National Institute of Health, Osong, Republic of Korea.; Division of Emerging Viral Diseases and Vector Research, Center for Infectious Diseases Research, National Institute of Infectious Diseases, Korea National Institute of Health, Osong, Republic of Korea.",N/A
40620389,Correspondence: Risk perception of COVID-19 and vaccine uptake among patients with chronic illnesses at a tertiary health facility in Nigeria.,2025 Mar,Viroj Wiwanitkit,"Department of Research Analytics, Saveetha Dental College and Hospitals, Saveetha Institute of Medical and Technical Sciences Saveetha University, Chennai, India.",N/A
40620275,Retrospective Analysis of Factors Associated with a Prolonged Nucleic Acid Conversion Time in Patients with COVID-19 at Fangcang Shelter Hospital.,2025,"Yang Li, Yang Wei, Yu Wang, Qiuxia Chen, Xianhua Hou","Department of Neurology, The First Affiliated Hospital of Army Medical University, Chongqing, People's Republic of China.; Department of Vascular Surgery, The First Affiliated Hospital of Army Medical University, Chongqing, People's Republic of China.",N/A
40619617,Engineered Dual-Function Antibody-Like Proteins to Combat SARS-CoV-2-Induced Immune Dysregulation and Inflammation.,2025 Jul 06,"Yizhuo Wang, Chenwu Bai, Kerui Hou, Zhen Zhang, Ming Guo, Xin Wang, Fan Yang, Xin Liu","School of Pharmaceutical Sciences, Zhongnan Hospital of Wuhan University, Wuhan University, Wuhan, 430071, China.; State Key Laboratory of Virology and Biosafety, Modern Virology Research Center and RNA Institute, College of Life Sciences, Wuhan University, Wuhan, 430071, China.; Institute for Vaccine Research, Animal Bio-Safety Level III Laboratory / Center for Animal Experiment, Wuhan University School of Medicine, Wuhan, 430071, China.; Departmant of Radiology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430021, China.",N/A
40619375,Prehospital respiratory interventions during six waves of COVID-19: results from Israel's Emergency Medical Services system.,2025 Jul 06,Ari M Lipsky,"Department of Emergency Medicine, HaEmek Medical Center, Afula, Israel.",N/A
40618623,"Humoral, T cell and immune gene expression responses to SARS-CoV-2 vaccination in a small group of children with previous MIS-C.",2025 Jul 05,"Ntombi Benede, Avril Walters, Thandeka Moyo-Gwete, Mashudu Madzivhandila, Wendy A Burgers, Penny L Moore, Liesl J Zühlke, Roanne S Keeton","Institute of Infectious Disease and Molecular Medicine, University of Cape Town, South Africa; Division of Medical Virology, Department of Pathology, University of Cape Town, South Africa.; SAMRC Antibody Immunity Research Unit, School of Pathology, University of the Witwatersrand, Johannesburg, South Africa; National Institute for Communicable Diseases of the National Health Laboratory Services, Johannesburg, South Africa.; SAMRC Antibody Immunity Research Unit, School of Pathology, University of the Witwatersrand, Johannesburg, South Africa; National Institute for Communicable Diseases of the National Health Laboratory Services, Johannesburg, South Africa; Centre for the AIDS Programme of Research in South Africa, Durban, South Africa.; Institute of Infectious Disease and Molecular Medicine, University of Cape Town, South Africa; Division of Medical Virology, Department of Pathology, University of Cape Town, South Africa; Wellcome Centre for Infectious Diseases Research in Africa, University of Cape Town, South Africa; South African Medical Research Council, Cape Town, South Africa.; Department of Paediatrics and Child Health, University of Cape Town, Cape Town, South Africa; Cape Heart Institute, University of Cape Town, Cape Town, South Africa; South African Medical Research Council, Cape Town, South Africa.",N/A
40617765,The hypercoagulable state in COVID-19 and implications for free flap surgery in the lower limb: A retrospective multi-centre study.,2025 Jun 24,"Chaninda Dejsupa, Erik Lenguerrand, Johann Jeevaratnam, George Wheble","University Hospital Southampton NHS Foundation Trust, Southampton, United Kingdom; Joint Hospital Group, Defence Medical Services, United Kingdom.; University of Bristol Medical School, Bristol, United Kingdom.; North Bristol NHS Trust, Bristol, United Kingdom; Joint Hospital Group, Defence Medical Services, United Kingdom.",N/A
40617558,The effect of COVID-19 vaccination on menstrual cycles of adolescents and young adults: a systematic review and meta-analysis.,2025 Jul 03,E M Mallett,"Department of Biomedical and Molecular Sciences, Queens University, Kingston, Canada.",N/A
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025 Jul 03,Henrique Coelho de Oliveira,"Eppendorf do Brasil Ltda. Rua Presidente Antônio Candido, 80, CEP 05083-060, São Paulo, SP-Brazil.",N/A
40617355,"""High Public Demand and Acceptance of Newer Vaccines in Private Sector Immunisation in Vellore, South India: Implications for India's National Immunisation Program.",2025 Jul 03,"Rajeev Zachariah Kompithra, Leni Grace Mathew, Valsan Philip Verghese, Sarah Mathai, T Jacob John","Department of Child Health, Christian Medical College, Vellore, Tamil Nadu, 632004, India. Electronic address: sarjomat@cmcvellore.ac.in.; Department of Child Health, Christian Medical College, Vellore, Tamil Nadu, 632004, India. Electronic address: rajeev.k_zachariah@yahoo.in.; Departments of Child Health, Clinical Virology and Microbiology Christian Medical College, Vellore, Tamil Nadu, 632004, India. Electronic address: tjacobjohn@yahoo.co.in.; Department of Child Health, Christian Medical College, Vellore, Tamil Nadu, 632004, India. Electronic address: valsan@cmcvellore.ac.in.; Department of Child Health, Christian Medical College, Vellore, Tamil Nadu, 632004, India. Electronic address: lenigm@gmail.com.",rajeev.k_zachariah@yahoo.in.
40617091,Exposure to two antigenically distinct SARS-CoV-2 variants broadens neutralization patterns.,2025 Jul 04,"Melanie M Schmitt, Annika Rössler, Ludwig Knabl, Albert Falch, Patrick Neckermann, Marta Bermejo-Jambrina, Wegene Borena, Gagandeep Singh, Florian Krammer, Dorothee von Laer, Ralf Wagner, Janine Kimpel","Tyrolpath Obrist Brunhuber GmbH, Hauptplatz 4, 6511, Zams, Austria.; Institute of Virology, Department of Hygiene, Microbiology and Virology, Medical University of Innsbruck, Peter-Mayr-Str. 4b, 6020 Innsbruck, Austria; Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA.; Institute of Virology, Department of Hygiene, Microbiology and Virology, Medical University of Innsbruck, Peter-Mayr-Str. 4b, 6020 Innsbruck, Austria. Electronic address: Janine.Kimpel@i-med.ac.at.; Department of Microbiology, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Center for Vaccine Research and Pandemic Preparedness (C-VARPP), Icahn School of Medicine at Mount Sinai, New York, NY, USA; Ignaz Semmelweis Institute, Institute for Infection Research, Medical University of Vienna, Vienna, Austria.; University of Regensburg, Institute of Medical Microbiology and Hygiene, Regensburg, Germany.; Department of Microbiology, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Center for Vaccine Research and Pandemic Preparedness (C-VARPP), Icahn School of Medicine at Mount Sinai, New York, NY, USA.; University of Regensburg, Institute of Medical Microbiology and Hygiene, Regensburg, Germany; University Hospital Regensburg, Institute of Clinical Microbiology and Hygiene, Regensburg, Germany.; Institute of Virology, Department of Hygiene, Microbiology and Virology, Medical University of Innsbruck, Peter-Mayr-Str. 4b, 6020 Innsbruck, Austria.",Janine.Kimpel@i-med.ac.at.
40617089,Lessons learnt during establishment of COVID-19 active vaccine safety surveillance in nine African countries.,2025 Jul 04,"Kimberley Gutu, Alane Izu, Sana Mahtab, Nana Akosua Ansah, Kondwani Jambo, Eunice Wangeci Kagucia, Shabir A Madhi","Wits African Leadership in Vaccinology Expertise (Wits-Alive), School of Pathology, Faculty of Health Science, University of the Witwatersrand, Johannesburg, South Africa; South African Medical Research Council Vaccines and Infectious Diseases Analytics Research Unit, University of the Witwatersrand, Johannesburg, South Africa. Electronic address: alane.izu@wits-vida.org.; South African Medical Research Council Vaccines and Infectious Diseases Analytics Research Unit, University of the Witwatersrand, Johannesburg, South Africa. Electronic address: sana.mahtab@wits-vida.org.; KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya. Electronic address: EKagucia@kemri-wellcome.org.; Wits African Leadership in Vaccinology Expertise (Wits-Alive), School of Pathology, Faculty of Health Science, University of the Witwatersrand, Johannesburg, South Africa; South African Medical Research Council Vaccines and Infectious Diseases Analytics Research Unit, University of the Witwatersrand, Johannesburg, South Africa. Electronic address: shabir.madhi@wits.ac.za.; Navrongo Health Research Centre, Navrongo, Ghana. Electronic address: nana.ansah@navrongo-hrc.org.; Malawi-Liverpool-Wellcome Trust Clinical Research Programme, Malawi. Electronic address: kjambo@mlw.mw.; South African Medical Research Council Vaccines and Infectious Diseases Analytics Research Unit, University of the Witwatersrand, Johannesburg, South Africa. Electronic address: kimberley.gutu@wits.ac.za.",kimberley.gutu@wits.ac.za.
40616909,Influenza vaccination coverages in Italy from 1999/00 to 2023/24: A joinpoint regression analysis.,2025 Jun 18,Leonardo Villani,"Section of Hygiene, University Department of Life Sciences and Public Health, Università Cattolica del Sacro Cuore, Rome, Italy; Osservatorio Nazionale sulla Salute nelle Regioni Italiane - Osservasalute, Università Cattolica del Sacro Cuore, Rome, Italy; UniCamillus - Saint Camillus International University of Health and Medical Sciences, Rome, Italy.",N/A
40616841,A rare B cell clonotype imprinted by ancestral SARS-CoV-2 develops cross-sarbecovirus neutralization in immune recalls.,2025 Jul 04,"Xixian Chen, Ling Li, Ruiping Du, Zuowei Wang, Yunjian Li, Yi Sun, Rongrong Qin, Hualong Feng, Lin Hu, Xuanyi Chen, Maosheng Lu, Xueyan Huang, Haibo Wang, Liwei Jiang, Teng Zuo","Laboratory of Immunoengineering, Institute of Health and Medical Technology, Hefei Institutes of Physical Science, Chinese Academy of Sciences, Hefei 230031, China. Electronic address: zuot@cmpt.ac.cn.; Laboratory of Immunoengineering, Institute of Health and Medical Technology, Hefei Institutes of Physical Science, Chinese Academy of Sciences, Hefei 230031, China. Electronic address: jlw0531@cmpt.ac.cn.; Laboratory of Immunoengineering, Institute of Health and Medical Technology, Hefei Institutes of Physical Science, Chinese Academy of Sciences, Hefei 230031, China.; Laboratory of Immunoengineering, Institute of Health and Medical Technology, Hefei Institutes of Physical Science, Chinese Academy of Sciences, Hefei 230031, China; University of Science and Technology of China, Hefei 230026, China.; Cancer Institute (Key Laboratory of Cancer Prevention and Intervention, China National Ministry of Education) of the Second Affiliated Hospital and Institute of Translational Medicine, Zhejiang University School of Medicine, Hangzhou 310009, China; Zhejiang Key Laboratory of Frontier Medical Research on Cancer Metabolism and Zhejiang Key Laboratory of Molecular Biology in Medical Sciences, Hangzhou 310029, China. Electronic address: haibo.wang@zju.edu.cn.",haibo.wang@zju.edu.cn.
40616520,Discovery of the Clinical Candidate S-892216: A Second-Generation of SARS-CoV-2 3CL Protease Inhibitor for Treating COVID-19.,2025 Jul 05,"Yuto Unoh, Keiichiro Hirai, Shota Uehara, Sho Kawashima, Haruaki Nobori, Jun Sato, Hiromitsu Shibayama, Akihiro Hori, Kenji Nakahara, Kana Kurahashi, Masayuki Takamatsu, Shiho Yamamoto, Qianhui Zhang, Miki Tanimura, Reiko Dodo, Yuki Maruyama, Hirofumi Sawa, Ryosuke Watari, Tetsuya Miyano, Teruhisa Kato, Takafumi Sato, Yuki Tachibana","Institute for Vaccine Research and Development (HU-IVReD), Hokkaido University, Sapporo 001-0021, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.",N/A
40615533,Association between 25(OH)D levels and clinical outcomes in patients infected with SARS-CoV-2: a cross-sectional study.,2025 Jul 04,"Aleksandra Starosz, Anna Parfieniuk-Kowerda, Diana Martonik, Anna Moniuszko-Malinowska, Sławomir Pancewicz, Robert Flisiak, Marcin Moniuszko, Kamil Grubczak","Department of Regenerative Medicine and Immune Regulation, Medical University of Bialystok, Jerzego Waszyngtona 13, 15-269, Bialystok, Poland. kamil.grubczak@umb.edu.pl.; Department of Infectious Diseases and Neuroinfection, Medical University of Bialystok, Zurawia 14, 15-540, Bialystok, Poland.; Department of Infectious Diseases and Hepatology, Medical University of Bialystok, Zurawia 14, 15-540, Bialystok, Poland.; Department of Regenerative Medicine and Immune Regulation, Medical University of Bialystok, Jerzego Waszyngtona 13, 15-269, Bialystok, Poland. aleksandra.starosz@umb.edu.pl.; Department of Regenerative Medicine and Immune Regulation, Medical University of Bialystok, Jerzego Waszyngtona 13, 15-269, Bialystok, Poland.",aleksandra.starosz@umb.edu.pl.
40615384,Hamsters immunized with formalin-inactivated SARS-CoV-2 develop accelerated lung histopathological lesions and Th2-biased response following infection.,2025 Jul 04,"Rineke de Jong, Sandra Vreman, Katrin E Wiese, Nora M Gerhards, Rik L de Swart, Jose L Gonzales, Nadia Oreshkova","Wageningen Bioveterinary Research, Wageningen University and Research, Lelystad, The Netherlands.; Wageningen Bioveterinary Research, Wageningen University and Research, Lelystad, The Netherlands. rineke.jong@wur.nl.; Wageningen Bioveterinary Research, Wageningen University and Research, Lelystad, The Netherlands. Nadia.oreshkova@wur.nl.",rineke.jong@wur.nl.
40615136,Gender disparities in COVID-19 vaccine hesitancy in high-income countries: an umbrella review protocol.,2025 Jul 03,"Chiara Noviello, Claudia Palmieri, Pasquale Stefanizzi, Silvio Tafuri","Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.",N/A
40614182,Safety and immunogenicity of intranasal parainfluenza virus type 5 (PIV5)-vectored COVID-19 vaccine in adults and teens in an open-label phase 1 trial.,2025 Jul 04,"Paul Spearman, Hong Jin, Peng Xiao, Kristeene Knopp, Henry Radziewicz, Marinka Tellier, Sasha E Larsen, Bryan J Berube, Jamie Kidd, Karnail Singh, Zhuo Li, Maria Cristina Gingerich, Samuel Wu, Susan P John, Rhea Coler, Francois J Villinger, Biao He","Center for Global Infectious Disease Research, Seattle Children's Research Institute, WA 98109, USA.; Infectious Diseases, Cincinnati Children's Hospital and University of Cincinnati, 3333 Burnet Avenue, Cincinnati, OH 45229, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; New Iberia Research Center, University of Louisiana at Lafayette, New Iberia, LA 70560, USA.",N/A
40614084,Using Large Language Models to Assess Burnout Among Health Care Workers in the Context of COVID-19 Vaccine Decisions and Health Beliefs: Retrospective Cohort Study.,2025 Jul 04,"Samaneh Omranian, Janet W Rich-Edwards","Brigham and Women's Hospital and Harvard Medical School, Harvard University, Boston, MA, United States.",N/A
40613499,A pan-beta-coronavirus vaccine bearing conserved and asymptomatic B- and T-cell epitopes protects against highly pathogenic Delta and highly transmissible Omicron SARS-CoV-2 variants.,2025 Dec,"Jeffrey B Ulmer, Daniel Gil","Department of Vaccines and Immunotherapies, TechImmune, LLC, University Lab Partners, Irvine, CA, USA.",N/A
40613498,Hydrophobin-Fused SARS-CoV-2 RBD production in Nicotiana benthamiana L. for COVID-19 serology.,2025 Dec,"Daniel Freire Lima, Cícero Matheus Lima Amaral, Arnaldo Solheiro Bezerra, Amauri Barbosa da Silva Junior, Yago Kayan de Souza Lima, Bruno Bezerra da Silva, Natalia do Vale Canabrava, Eridan Orlando Pereira Tramontina Florean, Maria Izabel Florindo Guedes","Laboratory of Biotechnology and Molecular Biology, State University of Ceará, Fortaleza, Ceará, Brazil.",N/A
40613193,[Interaction between COVID-19 Infection and Hematological Malignancies --Review].,2025 Jun,"Zi-Heng Wang, Jia-Yi Zhao, Xiao-Feng Shi","Nanjing Medical University, Nanjing 211166, Jiangsu Province, China.",N/A
40613103,A cost-effectiveness analysis of Molnupiravir and Paxlovid for outpatient treatment of COVID-19 in three African countries.,2025,Ijeoma P Edoka,"Health Economics and Epidemiology Research Office (HE2RO), Department of Internal Medicine, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa.",N/A
40613099,"COVID-19 knowledge, attitudes and practices in Thabo Mofutsanyana District, South Africa, 2022.",2025,Michelle Groome,"Vaccines and Infectious Diseases Analytics Research Unit, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa.",N/A
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025 Jul,"Monica M Shieu, Daniel E Weiner, Nien Chen Li, Harold J Manley, Antonia Harford, Caroline M Hsu, Dana Miskulin, Doug Johnson, Eduardo K Lacson","Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.",N/A
40612208,Myocarditis Following COVID-19 Vaccine: What Did We Learn?,2025 Jan-Dec,"Joseph Abourjeili, Christelle Lattouf, Anthony Abou Mrad, Elio Salameh, Rana Zareef, Fadi Bitar, Mariam Arabi","American University of Beirut Medical Center, Beirut, Lebanon.",N/A
40612098,LISTEN: lived experiences of Long COVID: a social media analysis of mental health and supplement use.,2025,"Sam Martin, Maya Janse Van Rensburg, Huong Thien Le, Charlie Firth, Abinaya Chandrasekar, Sigrún Eyrúnardóttir Clark, Samantha Vanderslott, Cecilia Vindrola-Padros, Norha Vera San Juan","Oxford Vaccine Group, NIHR Oxford Biomedical Research Centre, University of Oxford, Oxford, United Kingdom.; Rapid Research, Evaluation, and Appraisal Lab (RREAL), Department of Targeted Intervention, University College London, London, United Kingdom.",N/A
40612010,A scoping review of authorisation pathway for COVID-19 vaccines among selected countries.,2025,"Parnnaphat Luksameesate, Osot Nerapusee, Puree Anantachoti","Faculty of Pharmaceutical Sciences, Department of Social and Administrative Pharmacy, Chulalongkorn University, Bangkok, Thailand.; School of Pharmacy, Eastern Asia University, Pathumthani, Thailand.",N/A
40611476,Exploring community health workers' perspectives on recommending influenza vaccination to older adults: a phenomenological study.,2025 Jul 04,Zhengyue Dai,"Anhui Medical University Affiliated Stomatological Hospital, 2205 Changjiang West Road, Hefei, China.",N/A
40611257,Targeting heptad repeats and fusion peptide: nanoparticle vaccine elicits mucosal immune response against SARS-CoV-2 variants.,2025 Jul 03,"Chaofeng Liang, Qiuyue Zhang, Baisheng Li, Huan Zhang, Yun He","National Clinical Research Center for Infectious Diseases, The Second Affiliated Hospital of Southern, The Third People's Hospital of Shenzhen, University of Science and Technology, Shenzhen, 518112, Guangdong Province, China.; Graduate School of Guangzhou Medical University, Guangzhou, 510000, China.; Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.",N/A
